date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:11	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/options	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/options.11db.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/solutions	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/solutions.11dc.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company.11dd.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia.11de.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/press_center	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/press_center.11df.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/career	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/career.11e0.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/drivingchange	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/drivingchange.11e1.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	28620/28620	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:10%20GMT	http://www.dpd.com/sk_en/business_customers/products_services/b_sign	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/b_sign.html	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:11%20GMT	http://www.dpd.com/sk_en/home/cashapp	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/cashapp	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	233/233	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:12%20GMT	http://www.dpd.com/sk_en/home	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:11	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie.11e4.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:13	9833/9833	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:12%20GMT	http://www.dpd.com/sk_en/layout/set/print/business_customers/products_services/solutions/dpd_home	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/layout/set/print/business_customers/products_services/solutions/dpd_home.html	(from http://www.dpd.com/sk_en/business_customers/products_services/solutions/dpd_home)
18:58:14	24027/24027	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:14%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/predict	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/predict.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:15	226/226	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:15%20GMT	https://www.dpd.com/sk_en/contact	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/contact.11e7.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:18	23846/23846	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:16%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:21	31925/31925	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:16%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/c_o_d2	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/c_o_d2.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:21	23250/23250	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:19%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/saturday_delivery	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/saturday_delivery.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:22	22865/22865	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:22%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/small_parcel	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/small_parcel.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:23	22856/22856	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:23%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/collection_request	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/collection_request.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:24	22980/22980	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:24%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/exchange_service	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/exchange_service.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:24	22625/22625	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:24%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/id_check	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/id_check.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:25	23644/23644	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:25%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/prior_sms_notification	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/domestic_shipping/prior_sms_notification.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/options	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/options.11f1.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/solutions	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/solutions.11f2.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company.11f3.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
